file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,46,css,53e92c3a,Tanya301,2025-01-24,15:31:40,-08:00,2025-01-24T15:31:40-08:00,0,79
style.css,47,css,53e92c3a,Tanya301,2025-01-24,15:31:40,-08:00,2025-01-24T15:31:40-08:00,0,114
style.css,48,css,fda2c795,Tanya301,2025-02-07,15:36:30,-08:00,2025-02-07T15:36:30-08:00,0,17
style.css,49,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,0
style.css,50,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,0
style.css,51,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,5
style.css,52,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,13
style.css,53,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,31
style.css,54,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,8
style.css,55,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,0
style.css,56,css,53e92c3a,Tanya301,2025-01-24,15:31:40,-08:00,2025-01-24T15:31:40-08:00,0,11
style.css,57,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,13
style.css,58,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,30
style.css,59,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,19
style.css,60,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,0
style.css,61,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,7
style.css,62,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,19
style.css,63,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,0
style.css,64,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,13
style.css,65,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,19
style.css,66,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,17
style.css,67,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,33
style.css,68,css,53e92c3a,Tanya301,2025-01-24,15:31:40,-08:00,2025-01-24T15:31:40-08:00,0,114
